id,localidad,count,prop,delito
0,ANTONIO NARIÑO,27.1,0.018052130432771412,MURDERS
1,BARRIOS UNIDOS,48.9,0.03237028847693972,MURDERS
2,BOSA,89.4,0.05980263154503044,MURDERS
3,CANDELARIA,6.0,0.004043245592132086,MURDERS
4,CHAPINERO,63.8,0.04208090401774932,MURDERS
5,CIUDAD BOLIVAR,238.8,0.16000184180486685,MURDERS
6,ENGATIVA,88.4,0.0583917393044515,MURDERS
7,FONTIBON,36.8,0.024482523892457676,MURDERS
8,KENNEDY,145.3,0.09640629594691381,MURDERS
9,LOS MARTIRES,69.0,0.0462383534276692,MURDERS
10,PUENTE ARANDA,43.1,0.028779869978788862,MURDERS
11,RAFAEL URIBE URIBE,76.0,0.04994779866822923,MURDERS
12,SAN CRISTOBAL,109.9,0.07266141661056524,MURDERS
13,SANTA FE,57.8,0.03862200218405905,MURDERS
14,SUBA,127.7,0.08466589483893737,MURDERS
15,SUMAPAZ,27.6,0.017991174994654087,MURDERS
16,TEUSAQUILLO,38.4,0.025367234775468695,MURDERS
17,TUNJUELITO,41.5,0.027691146770057108,MURDERS
18,USAQUEN,56.7,0.03801027623334184,MURDERS
19,USME,111.5,0.0743932305049165,MURDERS
20,ANTONIO NARIÑO,1031.6,0.020349310831987717,SHOPLIFTING
21,BARRIOS UNIDOS,2529.8,0.04904302464195931,SHOPLIFTING
22,BOSA,2719.9,0.05086834730296315,SHOPLIFTING
23,CANDELARIA,1140.7,0.022941817425307754,SHOPLIFTING
24,CHAPINERO,4872.3,0.08980139101512871,SHOPLIFTING
25,CIUDAD BOLIVAR,2992.4,0.05900947277702025,SHOPLIFTING
26,ENGATIVA,4410.9,0.08193438451189645,SHOPLIFTING
27,FONTIBON,2030.9,0.036028242080354086,SHOPLIFTING
28,KENNEDY,4599.3,0.08420151471674572,SHOPLIFTING
29,LOS MARTIRES,2162.7,0.0407063037569075,SHOPLIFTING
30,PUENTE ARANDA,1731.3,0.0322543463072527,SHOPLIFTING
31,RAFAEL URIBE URIBE,2026.7,0.041812647295172714,SHOPLIFTING
32,SAN CRISTOBAL,2063.4,0.04272704349593279,SHOPLIFTING
33,SANTA FE,2570.3,0.04761644055905223,SHOPLIFTING
34,SUBA,4789.3,0.0903741993772048,SHOPLIFTING
35,SUMAPAZ,491.0,0.010386479882377179,SHOPLIFTING
36,TEUSAQUILLO,3774.1,0.07195042035146917,SHOPLIFTING
37,TUNJUELITO,1352.0,0.025939705511177157,SHOPLIFTING
38,USAQUEN,4044.3,0.06661153003082224,SHOPLIFTING
39,USME,1878.0,0.03544337812926841,SHOPLIFTING
40,ANTONIO NARIÑO,112.8,0.03553324465037129,CAR THEFT
41,BARRIOS UNIDOS,116.4,0.03651928760281119,CAR THEFT
42,BOSA,170.8,0.053392179502667315,CAR THEFT
43,CANDELARIA,18.1,0.005825160623553752,CAR THEFT
44,CHAPINERO,81.9,0.026206824005219294,CAR THEFT
45,CIUDAD BOLIVAR,228.6,0.072427328403761,CAR THEFT
46,ENGATIVA,387.0,0.12337581289808745,CAR THEFT
47,FONTIBON,92.7,0.029022595580110732,CAR THEFT
48,KENNEDY,524.5,0.1631164962038686,CAR THEFT
49,LOS MARTIRES,89.2,0.027909040325640216,CAR THEFT
50,PUENTE ARANDA,186.7,0.05829527545048428,CAR THEFT
51,RAFAEL URIBE URIBE,131.0,0.04157382451522858,CAR THEFT
52,SAN CRISTOBAL,164.3,0.05267529551255894,CAR THEFT
53,SANTA FE,49.5,0.0150240325406472,CAR THEFT
54,SUBA,239.8,0.07548176217847576,CAR THEFT
55,SUMAPAZ,34.9,0.011013920999448501,CAR THEFT
56,TEUSAQUILLO,126.7,0.040587912769326204,CAR THEFT
57,TUNJUELITO,113.2,0.0359048375405695,CAR THEFT
58,USAQUEN,170.3,0.05237942833724635,CAR THEFT
59,USME,138.2,0.04373574035992384,CAR THEFT
60,ANTONIO NARIÑO,73.2,0.022908649207523443,MOTORCYCLE THEFT
61,BARRIOS UNIDOS,119.0,0.0384166764042644,MOTORCYCLE THEFT
62,BOSA,260.7,0.07778753564232074,MOTORCYCLE THEFT
63,CANDELARIA,14.2,0.004843663037888461,MOTORCYCLE THEFT
64,CHAPINERO,97.9,0.032071560160262455,MOTORCYCLE THEFT
65,CIUDAD BOLIVAR,333.1,0.10064814160815472,MOTORCYCLE THEFT
66,ENGATIVA,313.4,0.09631006536229014,MOTORCYCLE THEFT
67,FONTIBON,94.2,0.028192713775579796,MOTORCYCLE THEFT
68,KENNEDY,498.6,0.15335269517061564,MOTORCYCLE THEFT
69,LOS MARTIRES,91.2,0.03139999180254214,MOTORCYCLE THEFT
70,PUENTE ARANDA,126.4,0.04088315754331214,MOTORCYCLE THEFT
71,RAFAEL URIBE URIBE,161.9,0.05083243456323229,MOTORCYCLE THEFT
72,SAN CRISTOBAL,174.5,0.053255127030230054,MOTORCYCLE THEFT
73,SANTA FE,59.9,0.019120713146849593,MOTORCYCLE THEFT
74,SUBA,251.1,0.07523987937883436,MOTORCYCLE THEFT
75,SUMAPAZ,38.8,0.011707390960455897,MOTORCYCLE THEFT
76,TEUSAQUILLO,106.3,0.03592884659508759,MOTORCYCLE THEFT
77,TUNJUELITO,126.8,0.040251578693924275,MOTORCYCLE THEFT
78,USAQUEN,112.1,0.032530592112592835,MOTORCYCLE THEFT
79,USME,177.6,0.054318587804039066,MOTORCYCLE THEFT
80,ANTONIO NARIÑO,167.2,0.011383206522001133,DOMESTIC VIOLENCE
81,BARRIOS UNIDOS,278.0,0.020407399800911056,DOMESTIC VIOLENCE
82,BOSA,845.2,0.05070767670575556,DOMESTIC VIOLENCE
83,CANDELARIA,60.0,0.004087061973815682,DOMESTIC VIOLENCE
84,CHAPINERO,328.3,0.024779479667616528,DOMESTIC VIOLENCE
