date,municipality,nighborhood,zone,age,sex,schooling
2019-07-01,ANAPOIMA,VER.ESMERALDA,RURAL,25.0,FEMENINO,SECUNDARIA
2019-07-01,BOGOTÁ D.C.,LAS QUINTAS DEL SUR E-19,URBANA,42.0,MASCULINO,SECUNDARIA
2019-07-01,BOGOTÁ D.C.,EL REMANSO E-7,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-01,BOGOTÁ D.C.,REMANSO II SECTOR E-16,URBANA,58.0,MASCULINO,SECUNDARIA
2019-07-01,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-02,BOGOTÁ D.C.,CANDELARIA III-IV E-19,URBANA,35.0,MASCULINO,TECNICO
2019-07-02,ZIPAQUIRÁ,CENTRO,URBANA,16.0,MASCULINO,SECUNDARIA
2019-07-03,BOGOTÁ D.C.,TOCAIMITA ORIENTAL E-5,URBANA,17.0,MASCULINO,SECUNDARIA
2019-07-03,BOGOTÁ D.C.,PERDOMO E-19,URBANA,59.0,MASCULINO,PRIMARIA
2019-07-03,FUSAGASUGÁ,SAN FERNANDO,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-04,BOGOTÁ D.C.,EL RINCON DE SUBA E-11,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-05,BOGOTÁ D.C.,LA PAZ BOSA E-7,URBANA,43.0,MASCULINO,SECUNDARIA
2019-07-05,SOACHA,INS. EL CHARQUITO,RURAL,24.0,MASCULINO,SECUNDARIA
2019-07-05,SOACHA,INS. EL CHARQUITO,RURAL,26.0,MASCULINO,SECUNDARIA
2019-07-05,SOACHA,LA MARIA,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-06,BOGOTÁ D.C.,CANDELARIA III-IV E-19,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-06,BOGOTÁ D.C.,EL PORVENIR E-7,URBANA,51.0,MASCULINO,SECUNDARIA
2019-07-06,BOGOTÁ D.C.,MARCO FIDEL SUAREZ E-18,URBANA,40.0,MASCULINO,SECUNDARIA
2019-07-06,GIRARDOT,ALTO DE LA CRUZ,URBANA,50.0,MASCULINO,PRIMARIA
2019-07-07,BOGOTÁ D.C.,SANTA LIBRADA E-5,URBANA,36.0,MASCULINO,SECUNDARIA
2019-07-07,BOGOTÁ D.C.,FATIMA E-6,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-07,CUCUNUBÁ,VER. LA FLORIDA,RURAL,28.0,MASCULINO,PRIMARIA
2019-07-07,TENA,INSP.LA GRAN VIA,URBANA,49.0,FEMENINO,PRIMARIA
2019-07-08,BOGOTÁ D.C.,LOURDES E-2,URBANA,67.0,MASCULINO,SECUNDARIA
2019-07-08,BOGOTÁ D.C.,BOLONIA E-5,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-08,ZIPAQUIRÁ,SAN JUANITO,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-09,BOGOTÁ D.C.,ARBORIZADORA ALTA E-19,RURAL,37.0,MASCULINO,SECUNDARIA
2019-07-10,BOGOTÁ D.C.,CARACOLI E-19,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-11,BOGOTÁ D.C.,ARABIA E-19,URBANA,16.0,MASCULINO,SECUNDARIA
2019-07-11,BOGOTÁ D.C.,JOSE MARIA CARBONEL I Y II ETAPA E-7,URBANA,16.0,MASCULINO,SECUNDARIA
2019-07-11,BOGOTÁ D.C.,CHUNIZA E-5,URBANA,29.0,MASCULINO,PRIMARIA
2019-07-11,BOGOTÁ D.C.,JIMENEZ DE QUEZADA E-7,URBANA,33.0,MASCULINO,SECUNDARIA
2019-07-11,CHÍA,CENTRO,URBANA,39.0,MASCULINO,PRIMARIA
2019-07-12,BOGOTÁ D.C.,PRIMAVERA NORTE E-10,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-12,BOGOTÁ D.C.,VENECIA E-6,URBANA,29.0,MASCULINO,PRIMARIA
2019-07-13,BOGOTÁ D.C.,VILLAS DEL PROGRESO E-19,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-13,BOGOTÁ D.C.,MONTEVIDEO E-9,URBANA,52.0,MASCULINO,SECUNDARIA
2019-07-13,BOGOTÁ D.C.,EL CHICO E-2,URBANA,30.0,MASCULINO,SUPERIOR
2019-07-13,GUACHETÁ,EL TEJAR,URBANA,50.0,FEMENINO,PRIMARIA
2019-07-14,BOGOTÁ D.C.,ARBORIZADORA ALTA E-19,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-14,CAJICÁ,CAPELLANIA,URBANA,35.0,MASCULINO,PRIMARIA
2019-07-14,SOACHA,CAZUCA,URBANA,22.0,MASCULINO,PRIMARIA
2019-07-16,BOGOTÁ D.C.,LA CONCORDIA E-17,URBANA,46.0,MASCULINO,SECUNDARIA
2019-07-15,BOGOTÁ D.C.,VILLA LUZ E-10,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-15,BOGOTÁ D.C.,REMANSO II SECTOR E-16,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-15,BOGOTÁ D.C.,TIBABUYES E-11,URBANA,43.0,MASCULINO,SECUNDARIA
2019-07-15,SOACHA,CIUDAD LATINA I,URBANA,42.0,MASCULINO,SECUNDARIA
2019-07-15,SOACHA,CIUDADELA SUCRE II,URBANA,18.0,MASCULINO,SECUNDARIA
2019-07-16,BOGOTÁ D.C.,SAN IGNACIO E-10,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-17,BOGOTÁ D.C.,SANTA FE E-14,URBANA,50.0,MASCULINO,SECUNDARIA
2019-07-17,BOGOTÁ D.C.,BARRANQUILLITA E-8,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-17,BOGOTÁ D.C.,JORGE ELIECER GAITAN E-12,URBANA,41.0,MASCULINO,TECNICO
2019-07-17,BOGOTÁ D.C.,VISTA HERMOSA SECTOR EL CAPRI E-19,URBANA,34.0,MASCULINO,SECUNDARIA
2019-07-17,BOGOTÁ D.C.,SANTA FE E-14,URBANA,21.0,MASCULINO,SECUNDARIA
2019-07-17,CAQUEZA,RAFAEL NUÑEZ,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-19,BOGOTÁ D.C.,RINCON DE SUBA E-11,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-19,BOGOTÁ D.C.,SAN MIGUEL E-4,URBANA,32.0,MASCULINO,SECUNDARIA
2019-07-19,BOGOTÁ D.C.,CIUDAD KENNEDY CENTRAL E-8,URBANA,39.0,MASCULINO,NO REPORTADO
