date,municipality,nighborhood,zone,age,sex,schooling
2019-07-27 23:00:00,BOGOTÁ D.C.,NIZA NORTE E-11,URBANA,54.0,FEMENINO,SUPERIOR
2019-07-01 19:00:00,BOGOTÁ D.C.,GALERIAS E-13,URBANA,43.0,MASCULINO,SECUNDARIA
2019-07-01 20:30:00,BOGOTÁ D.C.,EL PINAR DE LOS ALAMOS E-10,URBANA,36.0,MASCULINO,SUPERIOR
2019-07-01 16:00:00,BOGOTÁ D.C.,RESTREPO E-15,URBANA,34.0,MASCULINO,SECUNDARIA
2019-07-01 03:00:00,BOGOTÁ D.C.,SAN EUSEBIO E-16,URBANA,26.0,MASCULINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,VILLA ELISA E-11,URBANA,22.0,MASCULINO,TECNOLOGO
2019-07-01 03:30:00,BOGOTÁ D.C.,GRAN BRITALIA E-7,URBANA,42.0,MASCULINO,SECUNDARIA
2019-07-01 22:15:00,BOGOTÁ D.C.,SANTA MARIA DEL LAGO E-10,URBANA,61.0,FEMENINO,SUPERIOR
2019-07-01 15:45:00,BOGOTÁ D.C.,LAS LOMAS E-18,URBANA,50.0,MASCULINO,SECUNDARIA
2019-07-01 01:58:00,COTA,CENTRO,URBANA,52.0,MASCULINO,PRIMARIA
2019-07-02 21:00:00,BOGOTÁ D.C.,VILLA MARIA I E-11,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-02 09:00:00,BOGOTÁ D.C.,LA GRANJA E-10,URBANA,53.0,FEMENINO,TECNOLOGO
2019-07-02 16:00:00,BOGOTÁ D.C.,CIUDAD KENNEDY CENTRAL E-8,URBANA,50.0,FEMENINO,SECUNDARIA
2019-07-02 03:00:00,BOGOTÁ D.C.,SOTAVENTO E-19,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-02 21:45:00,BOGOTÁ D.C.,SAN RAFAEL INDUSTRIAL E-16,URBANA,61.0,MASCULINO,PRIMARIA
2019-07-02 21:15:00,BOGOTÁ D.C.,MODELIA E-9,URBANA,37.0,MASCULINO,SECUNDARIA
2019-07-02 14:46:00,BOGOTÁ D.C.,MANDALAY I ETAPA E-8,URBANA,32.0,MASCULINO,SUPERIOR
2019-07-03 22:00:00,BOGOTÁ D.C.,SABANA GRANDE E-9,URBANA,55.0,MASCULINO,PRIMARIA
2019-07-03 22:00:00,BOGOTÁ D.C.,TECHO E-8,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-03 21:30:00,BOGOTÁ D.C.,VILLAS DE GRANADA E-10,URBANA,48.0,MASCULINO,SUPERIOR
2019-07-03 17:00:00,BOGOTÁ D.C.,CIUDAD TECHO II E-8,URBANA,30.0,MASCULINO,SECUNDARIA
2019-07-03 07:00:00,BOGOTÁ D.C.,LA AURORA I SECTOR E-5,URBANA,27.0,FEMENINO,NO REPORTADO
2019-07-03 18:30:00,BOGOTÁ D.C.,LAS LOMAS E-4,URBANA,63.0,MASCULINO,PRIMARIA
2019-07-03 11:30:00,BOGOTÁ D.C.,JUAN JOSE RONDON E-19,URBANA,29.0,FEMENINO,SECUNDARIA
2019-07-03 08:00:00,NEMOCÓN,VER.CASA BLANCA,URBANA,,MASCULINO,NO REPORTADO
2019-07-04 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,39.0,MASCULINO,SUPERIOR
2019-07-04 22:30:00,BOGOTÁ D.C.,SAN JOSE DE FONTIBON E-9,URBANA,37.0,MASCULINO,SUPERIOR
2019-07-04 02:00:00,BOGOTÁ D.C.,BAHIA SOLANO E-9,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-04 20:30:00,BOGOTÁ D.C.,TIERRA SANTA E-1,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-04 04:00:00,BOGOTÁ D.C.,LAS MARGARITAS E-8,URBANA,37.0,MASCULINO,SECUNDARIA
2019-07-04 01:30:00,BOGOTÁ D.C.,SAN EUSEBIO E-16,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-04 02:30:00,BOGOTÁ D.C.,EL RESTREPO E-15,URBANA,60.0,MASCULINO,PRIMARIA
2019-07-04 23:40:00,BOGOTÁ D.C.,SANTA ANA SUR E-4,URBANA,58.0,MASCULINO,SUPERIOR
2019-07-04 23:40:00,BOGOTÁ D.C.,TIMIZA E-8,URBANA,62.0,MASCULINO,SECUNDARIA
2019-07-04 14:05:00,BOGOTÁ D.C.,RESTREPO E-15,URBANA,30.0,MASCULINO,SUPERIOR
2019-07-04 14:39:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,36.0,MASCULINO,SECUNDARIA
2019-07-04 19:47:00,BOGOTÁ D.C.,VILLA NOHORA E-7,URBANA,40.0,FEMENINO,SUPERIOR
2019-07-04 19:51:00,BOGOTÁ D.C.,PORTALES DEL NORTE E-11,URBANA,50.0,MASCULINO,SECUNDARIA
2019-07-04 21:36:00,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,45.0,MASCULINO,SECUNDARIA
2019-07-04 00:20:00,MADRID,LORENA,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-05 22:00:00,BOGOTÁ D.C.,PROVIVIENDA OCCIDENTAL E-8,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-05 20:00:00,BOGOTÁ D.C.,SANTA CECILIA E-9,URBANA,40.0,MASCULINO,SUPERIOR
2019-07-05 21:30:00,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,28.0,MASCULINO,SUPERIOR
2019-07-05 02:00:00,BOGOTÁ D.C.,ESTADOS UNIDOS E-8,URBANA,32.0,MASCULINO,PRIMARIA
2019-07-05 17:00:00,BOGOTÁ D.C.,JOSE JOAQUIN VARGAS E-12,URBANA,29.0,MASCULINO,SECUNDARIA
2019-07-05 12:00:00,BOGOTÁ D.C.,LA ESTRADA E-10,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-05 18:30:00,BOGOTÁ D.C.,INGLES E-18,URBANA,50.0,MASCULINO,SUPERIOR
