date,municipality,nighborhood,zone,age,sex,schooling
2019-09-01 20:00:00,SOACHA,SAN MATEO,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-01 19:30:00,BOGOTÁ D.C. (CT),GONZALO JIMENEZ E-7,URBANA,18.0,MASCULINO,SECUNDARIA
2019-07-01 19:30:00,BOGOTÁ D.C. (CT),SAN ANTONIO DE ENGATIVA E-10,URBANA,19.0,MASCULINO,SECUNDARIA
2019-07-01 16:00:00,BOGOTÁ D.C. (CT),MONTEBLANCO E-5,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-01 16:30:00,BOGOTÁ D.C. (CT),NORMANDIA E-10,URBANA,26.0,FEMENINO,SUPERIOR
2019-07-01 11:30:00,BOGOTÁ D.C. (CT),OLAYA E-18,URBANA,25.0,MASCULINO,TECNOLOGO
2019-07-01 18:50:00,BOGOTÁ D.C. (CT),LOS LAURELES E-7,URBANA,43.0,FEMENINO,SECUNDARIA
2019-07-01 16:50:00,BOGOTÁ D.C. (CT),TINTAL E-8,URBANA,24.0,MASCULINO,TECNICO
2019-07-01 20:24:00,BOGOTÁ D.C. (CT),VILLA HERMOSA E-11,URBANA,29.0,MASCULINO,TECNICO
2019-07-01 20:30:00,FACATATIVÁ,LLANO POPULAR,URBANA,23.0,MASCULINO,NO REPORTADO
2019-07-01 00:00:00,FUSAGASUGÁ,MANILA,URBANA,22.0,MASCULINO,SUPERIOR
2019-07-01 16:00:00,GIRARDOT,SANTA HELENA,URBANA,20.0,FEMENINO,TECNICO
2019-08-01 00:00:00,BOGOTÁ D.C. (CT),CIUDAD KENNEDY CENTRAL E-8,URBANA,35.0,MASCULINO,PRIMARIA
2019-08-01 20:30:00,BOGOTÁ D.C. (CT),SAN PEDRO E-11,URBANA,26.0,MASCULINO,TECNICO
2019-08-01 22:00:00,BOGOTÁ D.C. (CT),EL RINCON DE SUBA E-11,URBANA,23.0,FEMENINO,SECUNDARIA
2019-08-01 18:30:00,BOGOTÁ D.C. (CT),EL PORVENIR E-7,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-01 10:00:00,BOGOTÁ D.C. (CT),SAN ANTONIO DE ENGATIVA E-10,URBANA,25.0,MASCULINO,SUPERIOR
2019-08-01 17:00:00,BOGOTÁ D.C. (CT),SAN JOSE SUR E-18,URBANA,32.0,FEMENINO,SUPERIOR
2019-08-01 16:30:00,BOGOTÁ D.C. (CT),SAN CRISTOBAL E-4,URBANA,22.0,MASCULINO,TECNOLOGO
2019-08-01 10:30:00,BOGOTÁ D.C. (CT),FERIAS E-10,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-01 06:30:00,BOGOTÁ D.C. (CT),LAS FERIAS E-10,URBANA,26.0,MASCULINO,SECUNDARIA
2019-08-01 14:20:00,BOGOTÁ D.C. (CT),EL AMPARO E-8,URBANA,30.0,MASCULINO,SECUNDARIA
2019-08-01 13:10:00,BOGOTÁ D.C. (CT),BOSA E-7,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-01 13:10:00,BOGOTÁ D.C. (CT),SANTA FE E-7,URBANA,31.0,MASCULINO,SECUNDARIA
2019-08-01 12:47:00,BOGOTÁ D.C. (CT),CASA LINDA E-19,URBANA,37.0,MASCULINO,SECUNDARIA
2019-08-01 03:10:00,CHOACHÍ,CENTRO,URBANA,27.0,MASCULINO,SECUNDARIA
2019-08-01 20:00:00,GIRARDOT,ESTACION,URBANA,31.0,FEMENINO,NO REPORTADO
2019-08-01 22:50:00,SOACHA,EL PORVENIR,URBANA,,MASCULINO,SECUNDARIA
2019-08-01 01:30:00,ZIPAQUIRÁ,LA ESMERALDA,URBANA,27.0,MASCULINO,SECUNDARIA
2019-09-01 16:00:00,SOACHA,LOS OLIVOS III,URBANA,29.0,MASCULINO,PRIMARIA
2019-07-04 22:30:00,BOGOTÁ D.C. (CT),BERLIN SUBA E-11,URBANA,22.0,MASCULINO,SECUNDARIA
2019-09-01 20:00:00,BOGOTÁ D.C. (CT),BOLIVIA E-10,URBANA,30.0,MASCULINO,SUPERIOR
2019-09-01 00:00:00,BOGOTÁ D.C. (CT),EL CAMPIN E-13,URBANA,38.0,FEMENINO,TECNICO
2019-09-01 19:30:00,BOGOTÁ D.C. (CT),ENGATIVA E-10,URBANA,25.0,MASCULINO,TECNICO
2019-09-01 21:30:00,BOGOTÁ D.C. (CT),OLAYA E-18,URBANA,28.0,MASCULINO,SECUNDARIA
2019-09-01 21:30:00,BOGOTÁ D.C. (CT),SAN BENITO E-6,URBANA,32.0,MASCULINO,SECUNDARIA
2019-09-01 18:30:00,BOGOTÁ D.C. (CT),CHICALA E-7,URBANA,47.0,MASCULINO,SECUNDARIA
2019-09-01 18:00:00,BOGOTÁ D.C. (CT),LOS LACHES E-3,URBANA,37.0,MASCULINO,SECUNDARIA
2019-09-01 11:00:00,BOGOTÁ D.C. (CT),LA LIBERTAD E-7,URBANA,26.0,MASCULINO,SECUNDARIA
2019-09-01 14:00:00,BOGOTÁ D.C. (CT),LOS LAURELES E-7,URBANA,39.0,MASCULINO,SECUNDARIA
2019-09-01 10:30:00,BOGOTÁ D.C. (CT),DINDALITO E-8,URBANA,26.0,MASCULINO,SECUNDARIA
2019-09-01 20:20:00,BOGOTÁ D.C. (CT),EL ROSARIO E-12,URBANA,32.0,MASCULINO,SUPERIOR
2019-09-01 21:40:00,BOGOTÁ D.C. (CT),LA CAMELIA E-16,URBANA,37.0,MASCULINO,TECNICO
2019-09-01 20:15:00,BOGOTÁ D.C. (CT),CHICALA E-7,URBANA,30.0,MASCULINO,SUPERIOR
2019-09-01 16:20:00,BOGOTÁ D.C. (CT),NUEVA GRANADA E-7,URBANA,23.0,MASCULINO,TECNOLOGO
2019-09-01 22:20:00,BOGOTÁ D.C. (CT),PROGRESO II SECTOR LA REFORMA E-5,RURAL,28.0,MASCULINO,TECNICO
2019-07-02 00:00:00,BOGOTÁ D.C. (CT),VILLA GLADYS E-10,URBANA,,MASCULINO,NO REPORTADO
2019-07-02 21:55:00,BOGOTÁ D.C. (CT),BOSQUES DE SAN JOSE E-18,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-02 21:00:00,MOSQUERA,VILLA MARIA IV,RURAL,29.0,MASCULINO,SUPERIOR
2019-07-02 00:00:00,SOACHA,LOS PIMIENTOS I,URBANA,24.0,MASCULINO,SECUNDARIA
2019-08-02 19:00:00,BOGOTÁ D.C. (CT),CALANDAIMA E-8,URBANA,34.0,MASCULINO,SECUNDARIA
2019-08-02 21:00:00,BOGOTÁ D.C. (CT),JOSE DOMINGO LAIN E-19,URBANA,26.0,MASCULINO,SECUNDARIA
2019-08-02 19:30:00,BOGOTÁ D.C. (CT),ALQUERIAS DE LA FRAGUA E-8,URBANA,27.0,MASCULINO,SECUNDARIA
2019-08-02 10:00:00,BOGOTÁ D.C. (CT),SALAZAR GOMEZ E-16,URBANA,30.0,MASCULINO,SECUNDARIA
2019-08-02 17:00:00,BOGOTÁ D.C. (CT),LA PAZ E-12,URBANA,32.0,FEMENINO,SUPERIOR
2019-08-02 11:00:00,BOGOTÁ D.C. (CT),CIUDAD JARDIN SUR E-15,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-02 15:00:00,BOGOTÁ D.C. (CT),CHAPINERO CENTRAL E-2,URBANA,33.0,MASCULINO,SECUNDARIA
2019-08-02 02:00:00,BOGOTÁ D.C. (CT),UNIR I E-10,URBANA,28.0,MASCULINO,SUPERIOR
2019-08-02 12:30:00,BOGOTÁ D.C. (CT),SAN PEDRO E-7,URBANA,38.0,MASCULINO,SECUNDARIA
2019-08-02 09:30:00,BOGOTÁ D.C. (CT),CIUDAD KENNEDY NORTE E-8,URBANA,30.0,MASCULINO,SECUNDARIA
2019-08-02 19:20:00,BOGOTÁ D.C. (CT),EL RECREO E-7,URBANA,30.0,MASCULINO,SECUNDARIA
2019-08-02 16:20:00,BOGOTÁ D.C. (CT),RINCON DE SUBA E-11,URBANA,32.0,MASCULINO,SECUNDARIA
2019-08-02 10:10:00,BOGOTÁ D.C. (CT),CONJUNTO URBANO LA PRIMAVERA E-16,URBANA,25.0,MASCULINO,SUPERIOR
2019-08-02 16:07:00,BOGOTÁ D.C. (CT),SAN FRANCISCO E-19,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-02 00:00:00,SOACHA,LA DESPENSA,URBANA,42.0,MASCULINO,SECUNDARIA
2019-08-02 00:00:00,SOACHA,LA DESPENSA,URBANA,42.0,FEMENINO,SECUNDARIA
2019-09-02 20:30:00,BOGOTÁ D.C. (CT),SAN RAFAEL INDUSTRIAL E-16,URBANA,31.0,MASCULINO,TECNOLOGO
2019-09-02 22:00:00,BOGOTÁ D.C. (CT),BOSA E-7,URBANA,27.0,MASCULINO,TECNICO
2019-09-02 18:00:00,BOGOTÁ D.C. (CT),QUIROGA IHS ETAPA E-18,URBANA,28.0,MASCULINO,TECNOLOGO
2019-09-02 13:00:00,BOGOTÁ D.C. (CT),EL TUNAL E-6,URBANA,30.0,FEMENINO,SUPERIOR
2019-09-02 13:00:00,BOGOTÁ D.C. (CT),TINTAL E-8,URBANA,42.0,MASCULINO,SECUNDARIA
2019-09-02 11:30:00,BOGOTÁ D.C. (CT),LA CANDELARIA E-11,URBANA,24.0,MASCULINO,SECUNDARIA
2019-09-02 02:30:00,BOGOTÁ D.C. (CT),USAQUEN E-1,URBANA,48.0,MASCULINO,SUPERIOR
2019-09-02 14:28:00,BOGOTÁ D.C. (CT),EL TANQUE E-19,URBANA,,MASCULINO,TECNOLOGO
2019-09-02 16:05:00,BOGOTÁ D.C. (CT),NIZA NORTE E-11,URBANA,20.0,MASCULINO,SECUNDARIA
2019-09-02 19:04:00,BOGOTÁ D.C. (CT),VILLAS DE GRANADA E-10,URBANA,51.0,MASCULINO,SECUNDARIA
2019-09-02 00:00:00,SOACHA,CIUDAD VERDE,URBANA,35.0,MASCULINO,SECUNDARIA
2019-09-02 03:00:00,SOACHA,LA DESPENSA,URBANA,20.0,MASCULINO,NO REPORTADO
2019-07-03 20:00:00,BOGOTÁ D.C. (CT),LA ESTANZUELA E-14,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-03 19:00:00,BOGOTÁ D.C. (CT),PARIS GAITAN E-10,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-03 23:00:00,BOGOTÁ D.C. (CT),VISTA BELLA II SECTOR E-11,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-03 20:30:00,BOGOTÁ D.C. (CT),EL CHARCO I E-9,URBANA,38.0,MASCULINO,SUPERIOR
2019-07-03 18:30:00,BOGOTÁ D.C. (CT),BOSQUES DE MARIANA E-10,URBANA,33.0,MASCULINO,SECUNDARIA
2019-07-03 16:00:00,BOGOTÁ D.C. (CT),LA PAZ E-18,URBANA,26.0,FEMENINO,SECUNDARIA
2019-07-03 18:00:00,BOGOTÁ D.C. (CT),EL ENSUEÑO E-19,URBANA,33.0,MASCULINO,SECUNDARIA
2019-07-03 22:30:00,BOGOTÁ D.C. (CT),DIANA TURBAY E-18,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-03 12:00:00,BOGOTÁ D.C. (CT),BOSA E-7,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-03 11:30:00,BOGOTÁ D.C. (CT),LA AURORA I SECTOR E-5,URBANA,33.0,FEMENINO,SECUNDARIA
2019-07-03 09:00:00,BOGOTÁ D.C. (CT),CANDELARIA LA NUEVA I SECTOR E-19,URBANA,28.0,MASCULINO,SECUNDARIA
2019-07-03 17:30:00,BOGOTÁ D.C. (CT),LA ESTANZUELA E-14,URBANA,43.0,FEMENINO,PRIMARIA
2019-07-03 20:20:00,BOGOTÁ D.C. (CT),CASTILLA E-8,URBANA,30.0,MASCULINO,SUPERIOR
