date,municipality,nighborhood,zone,age,sex,schooling
2019-07-01 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,20.0,FEMENINO,SECUNDARIA
2019-07-01 08:00:00,BOGOTÁ D.C.,PLAZUELAS DEL VIRREY E-10,URBANA,20.0,FEMENINO,SUPERIOR
2019-07-01 08:00:00,BOGOTÁ D.C.,PREDIO EN FONTIBON E-9,URBANA,31.0,MASCULINO,TECNOLOGO
2019-07-01 08:00:00,BOGOTÁ D.C.,PROVIVIENDA OCCIDENTAL E-8,URBANA,41.0,MASCULINO,SUPERIOR
2019-07-01 08:00:00,BOGOTÁ D.C.,TEUSAQUILLO E-13,URBANA,20.0,FEMENINO,SECUNDARIA
2019-07-01 11:30:00,BOGOTÁ D.C.,HATO CHICO II E-11,URBANA,27.0,MASCULINO,SECUNDARIA
2019-07-01 11:30:00,BOGOTÁ D.C.,PARIS GAITAN E-10,URBANA,41.0,MASCULINO,SECUNDARIA
2019-07-01 03:00:00,BOGOTÁ D.C.,CEDRITOS E-1,URBANA,45.0,FEMENINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,CENTRO E-3,URBANA,49.0,FEMENINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,CHAPINERO CENTRAL E-2,URBANA,27.0,FEMENINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,CHAPINERO CENTRAL E-2,URBANA,37.0,MASCULINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,CIUDAD JARDIN E-11,URBANA,27.0,FEMENINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,LA CONCORDIA E-17,URBANA,19.0,FEMENINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,LAS MARGARITAS E-1,URBANA,19.0,MASCULINO,SUPERIOR
2019-07-01 03:00:00,BOGOTÁ D.C.,PARIS FRANCIA E-10,URBANA,21.0,MASCULINO,SUPERIOR
2019-07-01 18:00:00,BOGOTÁ D.C.,AMERICAS RESERVADO E-8,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-01 18:00:00,BOGOTÁ D.C.,CAMPO EUCARISTICO E-13,URBANA,28.0,FEMENINO,SUPERIOR
2019-07-01 18:00:00,BOGOTÁ D.C.,MAZUREN I SECTOR E-11,URBANA,38.0,FEMENINO,SUPERIOR
2019-07-01 18:00:00,BOGOTÁ D.C.,PALOQUEMAO E-14,URBANA,51.0,FEMENINO,SECUNDARIA
2019-07-01 18:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,21.0,FEMENINO,SECUNDARIA
2019-07-01 18:00:00,BOGOTÁ D.C.,POPULAR MODELO E-12,URBANA,24.0,MASCULINO,SUPERIOR
2019-07-01 07:00:00,BOGOTÁ D.C.,CIUDAD SALITRE II E-13,URBANA,28.0,MASCULINO,SUPERIOR
2019-07-01 07:00:00,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,50.0,FEMENINO,SUPERIOR
2019-07-01 07:00:00,BOGOTÁ D.C.,METROPOLIS E-12,URBANA,35.0,FEMENINO,SUPERIOR
2019-07-01 07:00:00,BOGOTÁ D.C.,PREDIO EL JARDIN E-10,URBANA,18.0,FEMENINO,TECNICO
2019-07-01 07:00:00,BOGOTÁ D.C.,SIMON BOLIVAR E-12,URBANA,28.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,CAMPO EUCARISTICO E-13,URBANA,23.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,EL PINAR DE LOS ALAMOS E-10,URBANA,36.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,LA URIBE E-1,URBANA,29.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,LOS NARANJOS EL RETAZO E-7,URBANA,25.0,MASCULINO,TECNICO
2019-07-01 20:30:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,44.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,RICAURTE OCCIDENTAL E-16,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-01 20:30:00,BOGOTÁ D.C.,SANTA ROSA E-11,URBANA,26.0,MASCULINO,SUPERIOR
2019-07-01 10:00:00,BOGOTÁ D.C.,CHAPINERO SUR OCCIDENTAL E-13,URBANA,27.0,FEMENINO,SUPERIOR
2019-07-01 10:00:00,BOGOTÁ D.C.,LA FAVORITA E-14,URBANA,73.0,MASCULINO,SECUNDARIA
2019-07-01 10:00:00,BOGOTÁ D.C.,LA PORCIUNCULA E-2,URBANA,40.0,FEMENINO,SUPERIOR
2019-07-01 10:00:00,BOGOTÁ D.C.,MIRANDELA E-11,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-01 10:00:00,BOGOTÁ D.C.,SANTA CATALINA E-8,URBANA,36.0,FEMENINO,TECNICO
2019-07-01 20:00:00,BOGOTÁ D.C.,CAMPO EUCARISTICO E-13,URBANA,29.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,CEDRITOS E-1,URBANA,33.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,FLORENCIA E-10,URBANA,31.0,FEMENINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,22.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,37.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,39.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,18.0,MASCULINO,SECUNDARIA
2019-07-01 20:00:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,46.0,MASCULINO,TECNICO
2019-07-01 20:00:00,BOGOTÁ D.C.,TERMINAL SATELITE DEL NORTE,URBANA,19.0,FEMENINO,TECNICO
2019-07-01 20:00:00,BOGOTÁ D.C.,TOBERIN ORIENTAL E-1,URBANA,19.0,MASCULINO,SUPERIOR
2019-07-01 20:00:00,BOGOTÁ D.C.,VALLADOLID E-8,URBANA,27.0,MASCULINO,SUPERIOR
2019-07-01 18:30:00,BOGOTÁ D.C.,ALMACEN EXITO III E-8,URBANA,21.0,MASCULINO,SUPERIOR
2019-07-01 18:30:00,BOGOTÁ D.C.,CAMPO EUCARISTICO E-13,URBANA,24.0,FEMENINO,SUPERIOR
2019-07-01 18:30:00,BOGOTÁ D.C.,CAMPO EUCARISTICO E-13,URBANA,51.0,MASCULINO,SECUNDARIA
2019-07-01 18:30:00,BOGOTÁ D.C.,PARQUE SIMON BOLIVAR E-13,URBANA,17.0,MASCULINO,SECUNDARIA
2019-07-01 19:30:00,BOGOTÁ D.C.,LAS AMERICAS E-13,URBANA,20.0,MASCULINO,SUPERIOR
2019-07-01 19:30:00,BOGOTÁ D.C.,PATIO BONITO II SECTOR E-8,URBANA,23.0,MASCULINO,SUPERIOR
2019-07-01 19:30:00,BOGOTÁ D.C.,PUERTA AL LLANO II E-5,URBANA,35.0,FEMENINO,SECUNDARIA
2019-07-01 19:30:00,BOGOTÁ D.C.,URIBIA E-11,URBANA,21.0,MASCULINO,SUPERIOR
2019-07-01 19:30:00,BOGOTÁ D.C.,VALLADOLID E-8,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-01 11:00:00,BOGOTÁ D.C.,GRANADA E-11,URBANA,27.0,MASCULINO,SUPERIOR
2019-07-01 11:00:00,BOGOTÁ D.C.,MIRAFLORES E-4,URBANA,33.0,FEMENINO,TECNICO
2019-07-01 11:00:00,BOGOTÁ D.C.,VERACRUZ E-3,URBANA,59.0,MASCULINO,SECUNDARIA
2019-07-01 08:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,,FEMENINO,NO REPORTADO
2019-07-01 08:00:00,BOGOTÁ D.C.,BOSA CENTRO E-7,URBANA,32.0,MASCULINO,SECUNDARIA
2019-07-01 08:00:00,BOGOTÁ D.C.,CARVAJAL E-8,URBANA,23.0,MASCULINO,SECUNDARIA
2019-07-01 08:00:00,BOGOTÁ D.C.,EL PLAN E-11,URBANA,57.0,MASCULINO,TECNICO
2019-07-01 08:00:00,BOGOTÁ D.C.,MARLY E-2,URBANA,35.0,MASCULINO,SUPERIOR
