date,municipality,nighborhood,zone,age,sex,schooling
2019-07-01 03:00:00,ANAPOIMA,VER.EL ROSARIO,URBANA,18.0,MASCULINO,SECUNDARIA
2019-07-01 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,FEMENINO,NO REPORTADO
2019-07-01 20:00:00,BOGOTÁ D.C.,VILLA MARIA I E-11,URBANA,69.0,MASCULINO,PRIMARIA
2019-07-01 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,51.0,MASCULINO,PRIMARIA
2019-07-01 10:00:00,BOGOTÁ D.C.,PREDIO EL JARDIN E-10,URBANA,78.0,MASCULINO,SECUNDARIA
2019-07-01 21:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,19.0,FEMENINO,SECUNDARIA
2019-07-01 21:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-01 21:00:00,BOGOTÁ D.C.,NUEVA GLORIA E-4,URBANA,31.0,FEMENINO,SECUNDARIA
2019-07-01 21:00:00,BOGOTÁ D.C.,NUEVA GLORIA E-4,URBANA,65.0,FEMENINO,PRIMARIA
2019-07-01 03:00:00,BOGOTÁ D.C.,LA PAZ BOSA E-7,URBANA,22.0,MASCULINO,SECUNDARIA
2019-07-01 14:00:00,BOGOTÁ D.C.,PABLO SEXTO E-13,URBANA,25.0,FEMENINO,PRIMARIA
2019-07-01 15:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-01 15:00:00,BOGOTÁ D.C.,SABANA GRANDE E-9,URBANA,20.0,MASCULINO,SUPERIOR
2019-07-01 15:00:00,BOGOTÁ D.C.,SABANA GRANDE E-9,URBANA,43.0,MASCULINO,TECNOLOGO
2019-07-01 15:00:00,BOGOTÁ D.C.,SANTIAGO PEREZ E-18,URBANA,61.0,MASCULINO,SECUNDARIA
2019-07-01 19:30:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,58.0,MASCULINO,SECUNDARIA
2019-07-01 11:00:00,BOGOTÁ D.C.,CAPELLANIA E-9,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-01 11:00:00,BOGOTÁ D.C.,CAPELLANIA E-9,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-01 11:00:00,BOGOTÁ D.C.,LA AURORA I SECTOR E-5,URBANA,22.0,FEMENINO,SECUNDARIA
2019-07-01 18:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,31.0,MASCULINO,SUPERIOR
2019-07-01 04:00:00,BOGOTÁ D.C.,CARMEN DEL SOL E-18,URBANA,56.0,FEMENINO,SUPERIOR
2019-07-01 21:30:00,BOGOTÁ D.C.,VILLA NELLY E-8,URBANA,10.0,FEMENINO,PRIMARIA
2019-07-01 21:30:00,BOGOTÁ D.C.,VILLA NELLY E-8,URBANA,39.0,MASCULINO,SECUNDARIA
2019-07-01 15:30:00,BOGOTÁ D.C.,SABANA GRANDE E-9,URBANA,21.0,MASCULINO,SUPERIOR
2019-07-01 13:00:00,BOGOTÁ D.C.,TIBABITA E-1,RURAL,23.0,FEMENINO,SECUNDARIA
2019-07-01 13:30:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,19.0,MASCULINO,SECUNDARIA
2019-07-01 13:30:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,59.0,FEMENINO,SECUNDARIA
2019-07-01 05:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18.0,MASCULINO,NO REPORTADO
2019-07-01 05:00:00,BOGOTÁ D.C.,PATIO BONITO I E-8,URBANA,27.0,MASCULINO,SECUNDARIA
2019-07-01 07:30:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,32.0,MASCULINO,NO REPORTADO
2019-07-01 21:20:00,BOGOTÁ D.C.,LA PAZ E-18,URBANA,35.0,MASCULINO,TECNICO
2019-07-01 19:40:00,BOGOTÁ D.C.,LA CORUÑA E-19,URBANA,63.0,FEMENINO,PRIMARIA
2019-07-01 11:40:00,BOGOTÁ D.C.,CHUNIZA E-5,URBANA,61.0,MASCULINO,PRIMARIA
2019-07-01 17:40:00,BOGOTÁ D.C.,BELLO HORIZONTE II SECTOR E-4,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-01 17:40:00,BOGOTÁ D.C.,JOSE MARIA CARBONEL I Y II ETAPA E-7,URBANA,15.0,MASCULINO,SECUNDARIA
2019-07-01 17:40:00,BOGOTÁ D.C.,JOSE MARIA CARBONEL I Y II ETAPA E-7,URBANA,41.0,FEMENINO,SECUNDARIA
2019-07-01 00:05:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,21.0,MASCULINO,NO REPORTADO
2019-07-01 14:40:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,42.0,MASCULINO,SECUNDARIA
2019-07-01 09:20:00,BOGOTÁ D.C.,PORTALES DE SAN JOSE E-7,URBANA,30.0,FEMENINO,SECUNDARIA
2019-07-01 07:10:00,BOGOTÁ D.C.,CARVAJAL E-8,URBANA,41.0,FEMENINO,SUPERIOR
