,barrio_original,barrio_sin_est,nom_match,lat,lon
0,12 DE OCTUBRE E-12,12 DE OCTUBRE ,DOCE DE OCTUBRE,,
1,20 DE JULIO,20 DE JULIO,VEINTE DE JULIO,,
2,7 DE AGOSTO E-12,7 DE AGOSTO ,CLUB DE LOS LAGARTOS,,
3,A.S.D. E-1,A.S.D.,,,
4,A.S.D. E-19,A.S.D. ,,,
5,ABRAHAM LINCON E-6,ABRAHAM LINCON,ABRAHAM LINCOLN,,
6,ABRAHAM LINCON E-8,ABRAHAM LINCON,ABRAHAM LINCOLN,,
7,ACACIA IV E-19,ACACIA IV ,ACACIAS USAQUEN,,
8,ACACIAS E-11,ACACIAS ,ACACIAS USAQUEN,,
9,ACACIAS III PARTE BAJA E-19,ACACIAS III PARTE BAJA ,ACACIAS USAQUEN,,
10,ACACIAS IV E-19,ACACIAS IV ,ACACIAS USAQUEN,,
11,ACACIAS NORTE E-1,ACACIAS NORTE,ACACIAS USAQUEN,,
12,ACACIAS SUR E-19,ACACIAS SUR ,ACACIAS USAQUEN,,
13,ACAIMA E-11,ACAIMA ,CANAIMA,,
14,ACAPULCO E-10,ACAPULCO ,ALCALA,,
15,ACAPULCO E-11,ACAPULCO ,ALCALA,,
16,ACAPULCO E-5,ACAPULCO,ALCALA,,
17,ACATAMA E-8,ACATAMA,ALCALA,,
18,ACEVEDO TEJADA E-13,ACEVEDO TEJADA ,ACEVEDO TEJADA,,
19,ACIP E-8,ACIP,LA CITA,,
20,ACUARELA E-4,ACUARELA,ALCALA,,
21,ACUARELA E-7,ACUARELA,ALCALA,,
22,AEROPUERTO,AEROPU,AEROPUERTO EL DORADO,,
23,AEROPUERTO ANGARES PRIVADOS,AEROPUERTO ANGARES PRIVADOS,AEROPUERTO EL DORADO,,
24,AEROPUERTO BODEGAS,AEROPUERTO BOD,AEROPUERTO EL DORADO,,
25,AEROPUERTO EL DORADO,AEROPUERTO EL DORADO,AEROPUERTO EL DORADO,,
26,AEROPUERTO MUELLE INTERNACIONAL,AEROPUERTO MUELLE INTERNACIONAL,AEROPUERTO EL DORADO,,
27,AEROPUERTO MUELLE NACIONAL,AEROPUERTO MUELLE NACIONAL,AEROPUERTO EL DORADO,,
28,AEROPUERTO PARQUEADEROS,AEROPUERTO PARQUEAD,AEROPUERTO EL DORADO,,
29,AEROPUERTO PUENTE AEREO,AEROPUERTO PUENTE A,AEROPUERTO EL DORADO,,
30,AFIDRO E-10,AFIDRO ,SAN ISIDRO,,
31,AGROPOLIS E-7,AGROPOLIS,METROPOLIS,,
32,AGUA BLANCA EL REMATE E-7,AGUA BLANCA EL REMATE,AGUAS CLARAS,,
33,AGUA CLARA E-1,AGUA CLARA,AGUAS CLARAS,,
34,AGUALINDA E-5,AGUALINDA,AGUAS CLARAS,,
35,AGUAS CALIENTES E-11,AGUAS CALIENTES ,AGUAS CLARAS,,
36,AGUAS CLARAS E-10,AGUAS CLARAS ,AGUAS CLARAS,,
37,AGUAS CLARAS E-4,AGUAS CLARAS,AGUAS CLARAS,,
38,AGUILA,AGUILA,LAGUNITAS,,
39,AINSUCA E-1,AINSUCA,NIZA SUBA,,
40,ALAMBRES NACIONALES E-8,ALAMBRES NACIONALES,ABRAHAM LINCOLN,,
