,bar_orig,loc_match
0,EL MOCHUELO II URBANO,CIUDAD BOLIVAR
1,SAN PABLO BOSA,BOSA
2,LOS SOCHES,USME
3,EL PORTAL DEL DIVINO,USME
4,LUCERO DEL SUR,CIUDAD BOLIVAR
5,BOLONIA,USME
6,SAN MIGUEL,BARRIOS UNIDOS
7,LA SOLEDAD NORTE,ENGATIVA
8,SAN BERNARDINO XVIII,BOSA
9,LA PERSEVERANCIA,SANTA FE
10,SAN MARTIN,SANTA FE
11,LA PEPITA,LOS MARTIRES
12,SAN JOSE SUR,RAFAEL URIBE URIBE
13,ZONA FRANCA,FONTIBON
14,LA CABANA,ENGATIVA
15,VILLA ANITA,USME
16,PARCELA EL PORVENIR,BOSA
17,CASABLANCA SUBA,SUBA
18,SAN ANTONIO,SUMAPAZ
19,ALTAMIRA,SAN CRISTOBAL
20,JUAN REY (LA PAZ),SAN CRISTOBAL
21,GINEBRA,USAQUEN
22,ATENAS,SUBA
23,LOS CEDROS ORIENTAL,USAQUEN
24,CEDRO NARVAEZ,USAQUEN
25,SALAZAR USME,USME
26,SUMAPAZ,CIUDAD BOLIVAR
27,SABANA DE TIBABUYES,SUBA
28,SAN RAFAEL,CIUDAD BOLIVAR
29,EL CHICO,CHAPINERO
30,LA PATRIA,BARRIOS UNIDOS
31,SAN FERNANDO OCCIDENTAL,BARRIOS UNIDOS
32,EL TINTAL,FONTIBON
33,NUEVA DELHI,SAN CRISTOBAL
34,SIETE DE AGOSTO,BARRIOS UNIDOS
35,COLOMBIA,BARRIOS UNIDOS
36,LA ESPERANZA SUR,FONTIBON
37,LA PICOTA ORIENTAL,RAFAEL URIBE URIBE
38,TIBAQUE I,SAN CRISTOBAL
39,EL REFUGIO I,USME
40,EL RUBI,KENNEDY
41,EL UVAL RURAL,USME
42,LA PAZ,RAFAEL URIBE URIBE
43,VILLA GLORIA,CIUDAD BOLIVAR
44,EL NEVADO,USME
45,ALASKA,USME
46,LAGO GAITAN,CHAPINERO
47,ARMENIA,TEUSAQUILLO
48,RAMIREZ,SANTA FE
49,POLO CLUB,BARRIOS UNIDOS
50,MILLAN,CIUDAD BOLIVAR
51,SEVILLA,ANTONIO NARIÑO
52,LA ESTRELLITA III,USAQUEN
53,ESTRELLA DEL NORTE,USAQUEN
54,DELMONTE,SUBA
55,ESCUELA DE INFANTERIA,USAQUEN
56,ESCUELA DE CABALLERIA I,USAQUEN
57,CASTILLA,KENNEDY
58,TIBABUYES OCCIDENTAL,SUBA
59,EL CORZO RURAL,BOSA
60,LA PRADERA NORTE,USAQUEN
61,VILLAS DE GRANADA,ENGATIVA
62,QUIBA I,CIUDAD BOLIVAR
63,SAUCEDAL,KENNEDY
64,RAMAJAL,SAN CRISTOBAL
65,SAN JOSE DE USAQUEN,USAQUEN
66,MOLINO RURAL,SAN CRISTOBAL
67,TEUSAQUILLO,TEUSAQUILLO
68,LAS GUACAMAYAS I,SAN CRISTOBAL
69,SAN ANTONIO,BOSA
70,LOS ANGELES,ENGATIVA
71,USAQUEN,USAQUEN
72,TABORA,ENGATIVA
73,PALERMO,TEUSAQUILLO
74,LAS DOS AVENIDAS,KENNEDY
75,VILLA DE LOS ALPES,SAN CRISTOBAL
76,BOSQUE DE PINOS I,USAQUEN
77,SAN ANTONIO NORTE,USAQUEN
78,SANTA ISABEL,LOS MARTIRES
