date,municipality,nighborhood,zone,age,sex,schooling
2019-07-02 09:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,46,MASCULINO,SUPERIOR
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,27,MASCULINO,SECUNDARIA
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,29,FEMENINO,TECNICO
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,38,MASCULINO,SECUNDARIA
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,40,FEMENINO,PRIMARIA
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,42,MASCULINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,43,FEMENINO,SECUNDARIA
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,51,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,65,MASCULINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,88,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,MASCULINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,MASCULINO,
2019-07-02 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,MASCULINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,18,FEMENINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,21,FEMENINO,SECUNDARIA
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,36,MASCULINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,37,FEMENINO,SECUNDARIA
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,40,MASCULINO,SECUNDARIA
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,46,FEMENINO,
2019-07-02 10:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,39,FEMENINO,
2019-07-02 20:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,24,FEMENINO,TECNICO
2019-07-02 20:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,28,FEMENINO,TECNICO
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,3,MASCULINO,
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,5,MASCULINO,
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,25,FEMENINO,SUPERIOR
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,26,FEMENINO,
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,51,MASCULINO,SECUNDARIA
2019-07-02 19:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,82,FEMENINO,SECUNDARIA
2019-07-02 21:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,33,FEMENINO,TECNICO
2019-07-02 21:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,43,FEMENINO,SECUNDARIA
2019-07-02 15:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,43,FEMENINO,SECUNDARIA
2019-07-02 11:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,50,FEMENINO,PRIMARIA
2019-07-02 09:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,28,FEMENINO,SECUNDARIA
2019-07-02 09:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,28,FEMENINO,TECNICO
2019-07-02 09:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,37,FEMENINO,SECUNDARIA
